id,label_en,label_es,node_type,node_subtype,parent_event,sequence_value,year_start,year_end,mapped,longitude,latitude,country,source_location,target_location,directed_location,source_other,target_other,directed_other,description_en,description_es,panel_html,citation,source,page
san_jose,San José,San José,place,city,,,,,TRUE,-84.0907,9.9281,Costa Rica,,,,,,,,,,,,
alajuela,Alajuela,Alajuela,place,city,,,,,TRUE,-84.2141,10.0162,Costa Rica,,,,,,,,,,,,
turrialba,Turrialba,Turrialba,place,city,,,,,TRUE,-83.6819,9.9003,Costa Rica,,,,,,,,,,,,
puerto_limon,Limón Port,Puerto Limón,infrastructure,port,,,,,TRUE,-83.0357,9.9922,Costa Rica,,,,,,,,,,,,
limon,Limón,Limón,place,city,,,,,TRUE,-83.0338,9.9902,Costa Rica,,,,,,,,,,,,
boston,Boston,Boston,place,city,,,,,TRUE,-71.0589,42.3601,United States,,,,,,,,,,,,
port_boston,Port of Boston,Puerto de Boston,infrastructure,port,,,,,TRUE,-71.0495,42.3603,United States,,,,,,,,,,,,
siquirres,Siquirres,Siquirres,place,city,,,,,TRUE,-83.5069,10.097,Costa Rica,,,,,,,,,,,,
port_new_orleans,Port of New Orleans,Puerto de Nueva Orleans,infrastructure,port,,,,,TRUE,-90.0715,29.9499,United States,,,,,,,,,,,,
atlantic_railroad,Atlantic Railroad,Ferrocarril al Atlántico,infrastructure,railroad,,,1890,,TRUE,-83.3,10.05,Costa Rica,,,,,,,Owned by Minor C. Keith through a 99-year concession.,Propiedad de Minor C. Keith por concesión de 99 años.,TRUE,,,
limon_rio_banano_railroad,Limón–Río Banano Railroad,Ferrocarril de Limón a Río Banano,infrastructure,railroad,,,1892,,TRUE,-83.15,10.02,Costa Rica,,,,,,,Owned by the Northern Railway Co.,Propiedad de la Northern Railway Co.,,,,
zent_railroad,Zent Railroad,Ferrocarril Zent,infrastructure,railroad,,,1894,,TRUE,-83.4,10.08,Costa Rica,,,,,,,Owned by the Northern Railway Co.,Propiedad de la Northern Railway Co.,,,,
la_luisa_railroad,La Luisa Railroad,Ramal La Luisa,infrastructure,railroad,,,1900,,TRUE,-83.45,10.1,Costa Rica,,,,,,,Owned by the Northern Railway Co.,Propiedad de la Northern Railway Co.,,,,
pacific_railroad,Pacific Railroad,Ferrocarril al Pacífico,infrastructure,railroad,,,1910,,TRUE,-84.5,9.9,Costa Rica,,,,,,,Publicly-owned.,Propiedad del estado.,,,,
26_millas,26 Millas,26 Millas,place,worker_site,,,1934,1934,TRUE,-83.54,10.1,Costa Rica,,,,,,,Striking workers' headquarters during the Banana Strike of 1934.,Cuartel general de los huelguistas durante la Huelga Bananera de 1934.,,,cerdas_1984,87
finca_los_angeles,Finca Los Angeles,Finca Los Angeles,place,plantation,,,,,TRUE,-83.545,10.105,Costa Rica,,,,,,,Owned by Salomón Esna Miguel.,Propiedad de Salomón Esna Miguel.,,,cerdas_1984,87
madre_de_dios,Madre de Dios,Madre de Dios,place,,,,,,TRUE,-83.62,10.12,Costa Rica,,,,,,,,,,,,
guapiles,Guápiles,Guápiles,place,city,,,,,TRUE,-83.7919,10.2177,Costa Rica,,,,,,,,,,,,
dos_bocas,Dos Bocas,Dos Bocas,place,,,,,,TRUE,-83.58,10.15,Costa Rica,,,,,,,,,,,,
la_fortuna,La Fortuna Plantation,Finca La Fortuna,place,plantation,,,,,TRUE,-83.56,10.09,Costa Rica,,,,,,,,,,,,
la_perla,La Perla Plantation,Finca La Perla,place,plantation,,,,,TRUE,-83.55,10.08,Costa Rica,,,,,,,,,,,,
sara,Sara Plantation (25 Millas),Finca Sara (25 Millas),place,plantation,,,,,TRUE,-83.535,10.095,Costa Rica,,,,,,,,,,,,
24_millas,24 Millas,24 Millas,place,plantation,,,,,TRUE,-83.53,10.085,Costa Rica,,,,,,,,,,,,
finca_costa_rica,Costa Rica Plantation,Finca Costa Rica,place,plantation,,,,,TRUE,-82.9,9.55,Costa Rica,,,,,,,"Furthermost plantation in the Atlantic region of Costa Rica, next to the Sixaola River.","Finca más remota en la región Atlántica, junto al río Sixaola.",,,cerdas_1984,86–87
1934_banana_strike,Banana Strike of 1934,Huelga Bananera de 1934,event,strike,TRUE,,,,TRUE,-83.54,10.1,Costa Rica,,,,,,,,,TRUE,,,
solidarity_strike,Solidarity Strike,Huelga de Solidaridad,event,strike,1934_banana_strike,4,,,TRUE,-83.6819,9.9003,Costa Rica,,,,,,,,,,,,
ufco,United Fruit Company,United Fruit Company,institution,company,,,1899,1984,FALSE,,,,,,,,,,,,TRUE,,,
irca,International Railways of Central America,FFCC Internacionales de Centro America,institution,company,,,1904,1974,FALSE,,,,,,,,,,,,,,,
boston_fruit_co,Boston Fruit Company,Boston Fruit Company,institution,company,,,1885,1899,FALSE,,,,,,,,,,,,,,,
boston_fruit_hq,Boston Fruit Company HQ,Oficinas de Boston Fruit Company,infrastructure,office,,,1885,1899,TRUE,42.360278,-71.049722,United States,,,,,,,,,,,,
northern_railway_co,Northern Railway Company,Northern Railway Company,institution,company,,,,,FALSE,,,Costa Rica,,,,,,,,,,,,
costa_rica_gov,Executive Branch of the Costa Rican Government,Poder Ejecutivo de Costa Rica,institution,state,,,,,FALSE,,,Costa Rica,,,,,,,,,,,,
fuerza_publica,Costa Rican Police Forces,Fuerza Pública de Costa Rica,institution,state,,,,,FALSE,,,Costa Rica,,,,,,,,,,,,
poder_judicial_cr,Judicial Branch of the Costa Rican Government,Poder Judicial de Costa Rica,institution,state,,,,,FALSE,,,Costa Rica,,,,,,,,,,,,
partido_comunista_cr,Communist Party of Costa Rica,Partido Comunista de Costa Rica,institution,organization,,,1931,,FALSE,,,Costa Rica,,,,,,,,,,,,
minor_keith,Minor C. Keith,Minor C. Keith,person,ufco_manager,,,,,FALSE,,,,,,,,,,Vice President of the United Fruit Company.,Vice-presidente de la United Fruit Company.,TRUE,,,
chittenden,George P. Chittenden,George P. Chittenden,person,ufco_manager,,,,,FALSE,,,,,,,,,,General Manager of the United Fruit Company,,,,,
manuel_mora,Manuel Mora,Manuel Mora,person,politician,,,,,FALSE,,,Costa Rica,,,,,,,,,,,,
calufa,Carlos Luis Fallas,Carlos Luis Fallas,person,organizer,,,,,FALSE,,,Costa Rica,,,,,,,,,,,,
fran_jimenez_guerra,Fran Jiménez Guerra,Fran Jiménez Guerra,person,organizer,,,,,FALSE,,,Costa Rica,,,,,,,Plantation owner.,Dueño de finca bananera.,,,cerdas_1984,86
arturo_volio,Arturo Volio,Arturo Volio,person,plantation_owner,,,,,FALSE,,,Costa Rica,,,,,,,Plantation owner.,Dueño de finca bananera.,,,cerdas_1984,86
villafranca,Villafranca,Villafranca,person,plantation_owner,,,,,FALSE,,,Costa Rica,,,,,,,Plantation owner of Los Angeles Plantation.,Dueño de Finca Los Angeles.,,,cerdas_1984,87
